id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Hersek Specialist;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;40198;33373;2021-08-03T13:54:14;2021-08-03T20:55:58
2;Chief Frozen Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;48877;11740;2021-08-04T08:10:32;2021-08-03T17:12:18
3;Sleek Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;17002;19520;2021-08-03T18:06:20;2021-08-03T22:08:01
4;1080p Toys bypassing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;47332;56390;2021-08-03T10:23:50;2021-08-03T16:18:31
5;maroon parsing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;92742;8441;2021-08-04T02:54:46;2021-08-04T05:25:59
6;Brand Credit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;92495;89882;2021-08-03T22:18:42;2021-08-03T21:43:55
7;digital challenge;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;34253;3676;2021-08-04T05:18:03;2021-08-03T14:28:21
8;algorithm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;31435;65671;2021-08-03T16:38:32;2021-08-04T05:42:42
9;foreground Plastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;27177;15695;2021-08-03T17:37:47;2021-08-03T16:08:13
10;Metrics middleware;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;91121;12210;2021-08-03T20:46:16;2021-08-03T12:50:36
